design,n,p,SNR,replicate,Rhat,success,H_minus_T,N_minus_T,mean_acceptance
independent,500,5000,2.0,15,1.051746270482128,True,0.0,-204.68843387925517,0.004593333333333334
independent,500,5000,2.0,16,1.0,True,0.0,-191.70703946214962,0.006976666666666666
independent,500,5000,2.0,17,1.0,True,0.0,-185.7072432554878,0.007486666666666667
independent,500,5000,2.0,18,1.0,True,0.0,-211.45461742556563,0.005511666666666667
independent,500,5000,2.0,19,1.0,True,0.0,-234.47259855997163,0.0037433333333333333
independent,500,5000,2.0,20,1.0059323751294624,True,0.0,-200.83338891975654,0.005928333333333334
independent,500,5000,3.0,1,1.0,True,0.0,-378.64083153734737,0.0052116666666666665
independent,500,5000,3.0,2,1.0,True,0.0,-360.9565075059145,0.0073366666666666676
independent,500,5000,3.0,3,1.0,True,0.0,-349.5609357714766,0.0042
independent,500,5000,3.0,4,1.0,True,0.0,-353.86326205344903,0.0038933333333333333
independent,500,5000,3.0,5,1.0,True,0.0,-382.43089213955136,0.006215000000000001
independent,500,5000,3.0,6,1.0,True,0.0,-374.52548179565747,0.008073333333333333
independent,500,5000,3.0,7,1.0,True,0.0,-397.0400161542693,0.0059099999999999995
independent,500,5000,3.0,8,1.0,True,0.0,-338.6715228849307,0.00461
independent,500,5000,3.0,9,1.0,True,0.0,-374.5210833517949,0.0036450000000000002
independent,500,5000,3.0,10,1.0,True,0.0,-370.5356372346332,0.003408333333333334
independent,500,5000,3.0,11,2.5589790715977436,False,0.0,-407.5028098847106,0.0038666666666666663
independent,500,5000,3.0,12,2.5483893577589796,False,0.0,-394.4443122387329,0.004441666666666667
independent,500,5000,3.0,13,1.1365064797047584,True,0.0,-388.04953658505747,0.0037149999999999996
independent,500,5000,3.0,14,1.0,True,0.0,-376.296829562566,0.0038766666666666667
independent,500,5000,3.0,15,1.0,True,0.0,-390.8273007061862,0.0035466666666666667
independent,500,5000,3.0,16,1.0,True,0.0,-369.41243120871604,0.006025
independent,500,5000,3.0,17,1.0344871519103391,True,0.0,-366.704715395098,0.006848333333333334
independent,500,5000,3.0,18,1.0,True,0.0,-360.69472265445074,0.004421666666666667
independent,500,5000,3.0,19,1.0958747821562103,True,0.0,-402.10175407531005,0.00576
independent,500,5000,3.0,20,1.0,True,0.0,-389.935462440485,0.003076666666666667
independent,1000,1000,0.5,1,1.0,True,124.08266991546225,124.08266991546225,0.4295
independent,1000,1000,0.5,2,1.0,True,113.87833807057723,113.87833807057723,0.4313
independent,1000,1000,0.5,3,1.0,True,112.50053045802997,112.50053045802997,0.39595
independent,1000,1000,0.5,4,1.1091999283905534,True,103.88984382586023,103.88984382586023,0.208825
independent,1000,1000,0.5,5,1.0860003637407587,True,109.42969504885696,109.42969504885696,0.3957833333333333
independent,1000,1000,0.5,6,1.076342178206599,True,95.75141661236376,95.75141661236376,0.36731666666666674
independent,1000,1000,0.5,7,1.0,True,104.44975294338656,104.44975294338656,0.3913583333333333
independent,1000,1000,0.5,8,1.0,True,121.14210401716991,121.14210401716991,0.4204083333333333
independent,1000,1000,0.5,9,1.0654986292411333,True,102.558013331658,99.49538777712405,0.02183333333333333
independent,1000,1000,0.5,10,1.0813677901750975,True,93.89035656702617,93.59657062128463,0.15198333333333333
independent,1000,1000,0.5,11,1.0,True,104.97018467482121,104.97018467482121,0.3582583333333333
